Cause of death,Number of deaths
Neoplasms,46864
Diseases of the circulatory system,37433
Diseases of the respiratory system,12607
Mental and behavioural disorders,12725
Diseases of the nervous system,8775
External causes of injury and poisoning,8671
"Symptoms, signs and ill-defined conditions",7126
Diseases of the digestive system,4681
"Endocrine, nutritional and metabolic diseases",3523
Diseases of the genitourinary system,3338
Infectious and parasitic diseases,3296
Diseases of the musculoskeletal system and connective tissue,1089
Blood/bloodforming organs and immune mechanism diseases,564
Congenital anomalies,503
Conditions originating in the perinatal period,361
Diseases of the skin and subcutaneous tissue,320
"Complications of pregnancy, childbirth and the puerperium",9
