Causes,Total amount donated in million U.S. dollars
Human Services,89.0
Education,45.4
Health Care,39.9
"International, Foreign Affairs & National Security",31.0
Youth Development,30.9
"Philanthropy, Voluntarism & Grantmaking Foundations",29.6
Housing & Shelter,23.6
Animal-Related,23.5
Religion-Related,22.6
"Food, Agriculture & Nutrition",22.4
"Civil Rights, Social Action & Advocacy",21.7
Community Improvement & Capacity Building,20.6
"Arts, Culture & Humanities",20.5
Voluntary Health Associations & Medical Disciplines,19.8
Public & Societal Benefit,19.2
"Public Safety, Disaster Preparedness & Relief",16.8
Crime & Legal-Related,14.7
Environment,14.7
Mental Health & Crisis Intervention,12.3
Recreation & Sports,11.3
Medical Research,10.9
Employment,7.51
Science & Technology,2.39
Social Science,1.88
Mutual & Membership Benefit,0.84
