Response,Share of respondents
Role-playing games (RPG/ MORPG/MMORPG),29%
"Casual games (e.g. Bejewelled, Tetris, Plants vs Zombies, etc)",29%
"Real-time strategy (e.g. Starcast, Age of Empires, League of Legends)",24%
"Shooter (First person shooter, stealth shooter, third-person shooter)",23%
Action/adventure games,19%
"Sports (e.g. FIFA, Champions Manager, etc)",13%
Simulation (e.g. SimCity),13%
Fighting games/ combat (e.g. Super Smash Bros Ultimate),11%
"Casino and card games (e.g. Poker, Solitaire, Blackjack)",11%
Racing games (e.g. Super Mario Kart),10%
"Battle royale games (e.g. Fortnite Battle Royale, Apex Legends, etc)",9%
Education/ edutainment,7%
Music/Dance/Rhythm games,6%
Augmented reality games (e.g. Pokemon Go),5%
Social (e.g Second life),4%
Others,4%
