State,Unemployment rate
Mississippi,23%
South Carolina,22.9%
Georgia,20.6%
California,20.2%
North Carolina,18.8%
Illinois,18.5%
New Jersey,18.2%
New York,18%
Oregon,17.9%
Arkansas,17.7%
Arizona,17.6%
Nevada,17.6%
Idaho,17.3%
Rhode Island,17.2%
Connecticut,17%
Kentucky,16.9%
Michigan,16.9%
Virginia,16.8%
Colorado,16.7%
Washington,16.7%
Louisiana,16.7%
Maine,16.6%
Florida,16.4%
Alabama,16.3%
Missouri,16.1%
West Virginia,15.7%
District of Columbia,15.6%
Delaware,15.2%
Indiana,14.9%
Alaska,14.8%
Hawaii,13.5%
Texas,13.5%
Tennessee,13.5%
Pennsylvania,13.4%
Maryland,13.4%
New Hampshire,13.4%
Kansas,13.2%
Vermont,13.1%
Wisconsin,12.9%
Wyoming,12.7%
New Mexico,12.6%
Ohio,12.6%
Massachusetts,12.2%
Utah,11.9%
Montana,11.1%
Iowa,11%
Minnesota,11%
Oklahoma,10.8%
South Dakota,9.9%
Nebraska,8.9%
North Dakota,7.2%
