Month,Index points
Jan 3,3.7
Jan 2,3.6
Jan 1,3.9
Dec 31,2.7
Dec 30,1.5
Dec 29,1.5
Dec 28,1.6
Dec 27,3.4
Dec 26,3.0
Dec 25,3.2
Dec 24,1.4
Dec 23,1.3
Dec 22,1.3
Dec 21,1.4
Dec 20,3.5
Dec 19,2.8
Dec 18,1.4
Dec 17,1.4
Dec 16,1.4
Dec 15,1.3
Dec 14,1.5
Dec 13,3.7
Dec 12,3.0
Dec 11,1.4
Dec 10,1.4
Dec 9,1.4
Dec 8,1.4
Dec 7,1.5
Dec 6,3.7
Dec 5,3.1
Dec 4,1.5
Dec 3,1.4
Dec 2,1.4
Dec 1,1.4
Nov 30,1.5
Nov 29,2.8
Nov 28,2.9
Nov 27,1.4
Nov 26,1.3
Nov 25,1.4
Nov 24,1.3
Nov 23,1.4
Nov 22,3.8
Nov 21,2.9
Nov 20,1.3
Nov 19,1.4
Nov 18,1.4
Nov 17,1.4
Nov 16,1.4
Nov 15,3.8
Nov 14,2.9
Nov 13,1.3
Nov 12,1.2
Nov 11,1.2
Nov 10,1.1
Nov 9,1.2
Nov 8,3.7
Nov 7,2.9
Nov 6,1.5
Nov 5,1.3
Nov 4,1.4
Nov 3,1.3
Nov 2,1.4
Nov 1,3.6
Oct 31,2.7
Oct 30,1.1
Oct 29,1.1
Oct 28,1.0
Oct 27,1.0
Oct 26,1.2
Oct 25,3.6
Oct 24,2.8
Oct 23,0.9
Oct 22,0.9
Oct 21,0.9
Oct 20,0.9
Oct 19,1.0
Oct 18,3.4
Oct 17,2.6
Oct 16,0.9
Oct 15,0.9
Oct 14,0.9
Oct 13,0.8
Oct 12,0.9
Oct 11,3.4
Oct 10,2.4
Oct 9,0.8
Oct 8,0.8
Oct 7,0.8
Oct 6,0.8
Oct 5,0.9
Oct 4,3.3
Oct 3,2.6
Oct 2,0.8
Oct 1,0.8
Sept 30,0.8
Sept 29,0.8
Sept 28,0.9
Sept 27,3.3
Sept 26,2.3
Sept 25,0.7
Sept 24,0.7
Sept 23,0.8
Sept 22,0.7
Sept 21,0.8
Sept 20,3.2
Sept 19,2.4
Sept 18,0.9
Sept 17,1.0
Sept 16,0.8
Sept 15,0.8
Sept 14,1.0
Sept 13,3.2
Sept 12,2.4
Sept 11,0.8
Sept 10,0.9
Sept 9,0.8
Sept 8,0.8
Sept 7,1.0
Sept 6,3.2
Sept 5,2.5
Sept 4,0.8
Sept 3,0.8
Sept 2,0.8
Sept 1,0.8
Aug 31,1.1
Aug 30,3.1
Aug 29,2.4
Aug 28,1.1
Aug 27,1.1
Aug 26,1.0
Aug 25,1.0
Aug 24,1.1
Aug 23,3.0
Aug 22,2.4
Aug 21,1.1
Aug 20,1.1
Aug 19,1.2
Aug 18,1.0
Aug 17,1.2
Aug 16,2.7
Aug 15,2.6
Aug 14,1.2
Aug 13,1.2
Aug 12,1.2
Aug 11,1.5
Aug 10,1.7
Aug 9,2.8
Aug 8,2.3
Aug 7,0.9
Aug 6,0.9
Aug 5,1.0
Aug 4,1.0
Aug 3,1.1
Aug 2,2.8
Aug 1,2.4
Jul 31,1.1
Jul 30,1.1
Jul 28,1.0
Jul 27,1.2
Jul 26,2.7
Jul 25,2.3
Jul 24,1.0
Jul 23,1.0
Jul 22,1.0
Jul 21,1.0
Jul 20,1.0
Jul 19,2.7
Jul 18,2.2
Jul 17,0.9
Jul 16,0.9
Jul 15,1.0
Jul 14,0.9
Jul 13,1.1
Jul 12,3.1
Jul 11,2.4
Jul 10,1.0
Jul 9,0.9
Jul 8,0.9
Jul 7,1.0
Jul 6,1.0
Jul 5,2.8
Jul 4,2.4
Jul 3,2.6
Jul 2,1.0
Jul 1,0.9
Jun 30,1.0
Jun 29,1.0
Jun 28,2.9
Jun 27,2.2
Jun 26,0.9
Jun 25,0.9
Jun 24,0.9
Jun 23,1.0
Jun 22,1.1
Jun 21,2.9
Jun 20,2.4
Jun 19,1.0
Jun 18,1.0
Jun 17,1.0
Jun 16,1.0
Jun 15,1.2
Jun 14,3.1
Jun 13,2.5
Jun 12,1.1
Jun 11,1.0
Jun 10,1.0
Jun 9,1.1
Jun 8,1.1
Jun 7,3.0
Jun 6,2.5
Jun 5,1.1
Jun 4,1.2
Jun 3,1.3
Jun 2,1.5
Jun 1,1.4
May 31,3.3
May 30,3.1
May 29,1.4
May 28,1.2
May 27,1.2
May 26,1.2
May 25,1.4
May 24,3.2
May 23,2.7
May 22,1.5
May 21,1.5
May 20,1.4
May 19,1.5
May 18,1.6
May 17,3.4
May 16,3.0
May 15,1.4
May 14,1.5
May 13,1.6
May 12,1.8
May 11,1.5
May 10,3.2
May 9,3.0
May 8,1.6
May 7,1.6
May 6,1.8
May 5,1.7
May 4,1.7
May 3,3.4
May 2,3.3
May 1,3.1
Apr 30,1.9
Apr 29,1.9
Apr 28,3.5
Apr 27,3.3
Apr 26,3.4
Apr 25,2.9
Apr 24,1.7
Apr 23,1.7
Apr 22,1.7
Apr 21,1.8
Apr 20,1.9
Apr 19,4.0
Apr 18,3.4
Apr 17,2.0
Apr 16,2.1
Apr 15,2.0
Apr 14,1.9
Apr 13,1.9
Apr 12,3.7
Apr 11,3.3
Apr 10,1.9
Apr 9,1.8
Apr 8,1.7
Apr 7,1.7
Apr 6,1.8
Apr 5,3.7
Apr 4,2.6
Apr 3,1.8
Apr 2,1.7
Apr 1,1.7
Mar 31,1.4
Mar 30,1.5
Mar 29,3.3
Mar 28,2.6
Mar 27,1.2
Mar 26,1.1
Mar 25,1.1
Mar 24,1.2
