Month,Number of COVID-19 tests
May 15,2875680
May 14,2807504
May 13,2735628
May 12,2673655
May 11,2606652
May 10,2565912
May 9,2514234
May 8,2445063
May 7,2381288
May 6,2310929
May 5,2246666
May 4,2191403
May 3,2153772
May 2,2108837
May 1,2053425
Apr 30,1979217
Apr 29,1910761
Apr 28,1846934
Apr 27,1789662
Apr 26,1757659
Apr 25,1707743
Apr 24,1642356
Apr 23,1579909
Apr 22,1513251
Apr 21,1450150
Apr 20,1398024
Apr 19,1356541
Apr 18,1305833
Apr 17,1244108
Apr 16,1178403
Apr 15,1117404
Apr 14,1073689
Apr 13,1046910
Apr 12,1010193
Apr 11,963473
Apr 10,906864
Apr 9,853369
Apr 8,807125
Apr 7,755445
Apr 6,721732
Apr 5,691461
Apr 4,657224
Apr 3,619849
Apr 2,581232
Apr 1,541423
Mar 31,506968
Mar 30,477359
Mar 29,454030
Mar 28,429526
Mar 27,394079
Mar 26,361060
Mar 25,324445
Mar 24,296964
Mar 23,275468
Mar 22,258402
Mar 21,233222
Mar 20,206886
Mar 19,182777
Mar 18,165541
Mar 17,148657
Mar 16,137962
Mar 15,124899
Mar 14,109170
Mar 13,97488
Mar 12,86011
Mar 11,73154
Mar 10,60761
Mar 9,53826
Mar 8,49937
Mar 7,42062
Mar 6,36359
Mar 5,32362
Mar 4,29837
Mar 3,25856
Mar 2,23345
Mar 1,21127
Feb 29,18661
Feb 28,15695
Feb 27,12014
Feb 26,9587
Feb 25,8623
Feb 24,4324
