Year,Gross domestic product in billion international dollars
2021*,566.91
2020*,535.83
2019,566.23
2018,551.47
2017,523.98
2016,504.88
2015,491.3
2014,480.16
2013,460.01
2012,443.74
2011,431.06
2010,414.64
2009,398.41
2008,404.4
2007,388.49
2006,363.4
2005,338.91
2004,318.61
2003,302.32
2002,296.59
2001,291.44
2000,281.56
1999,264.63
1998,256.62
1997,246.53
1996,236.84
1995,231.35
1994,225.39
1993,217.8
1992,217.02
1991,208.62
1990,203.46
1989,189.37
1988,174.55
1987,163.21
1986,156.79
1985,150.89
1984,141.11
