Football player,Player salary in thousand euros
Oscar (Shanghai SIPG),450
Bakambu (Beijing Guoan),375
Hulk (Shanghai SIPG),320
Graziano Pelle (Shandong Luneng Taishan FC),290
Stephan El Shaarawy (Shanghai Shenhua),290
Paulinho (Guangzhou Evergrande),270
Eder (Jiangsu Suning),250
Felaini (Shangdong Luneng),240
Arnautovic (Shanghai SIPG),230
Alex Teixeira (Jiangsu Suning),210
Elkeson (Guangzhou Evergrande),210
Talisca (Guangzhou Evergrande),180
Marek Hamsik (Dalian Yifang),170
Salomón Rondón (Dalian Yifang),170
Moussa Dembele (Guangzhou R&F),150
