Month,Index number of sales per week
Jun 20,97.6
May 20,25.0
Apr 20,24.9
Mar 20,70.5
Feb 20,120.6
Jan 20,120.2
Dec 19,117.0
Nov 19,118.6
Oct 19,121.1
Sep 19,127.7
Aug 19,127.0
Jul 19,129.7
Jun 19,130.9
May 19,132.8
Apr 19,126.3
Mar 19,128.4
Feb 19,120.8
Jan 19,116.8
Dec 18,124.9
Nov 18,127.0
Oct 18,124.7
Sep 18,123.3
Aug 18,125.9
Jul 18,128.6
Jun 18,105.5
May 18,116.2
Apr 18,111.7
Mar 18,105.2
Feb 18,110.3
Jan 18,112.5
Dec 17,109.3
Nov 17,122.3
Oct 17,110.0
Sep 17,112.1
Aug 17,111.7
Jul 17,110.5
Jun 17,108.4
May 17,107.8
Apr 17,112.1
Mar 17,111.4
Feb 17,115.9
Jan 17,112.7
Dec 16,106.5
Nov 16,102.7
Oct 16,107.0
Sep 16,101.0
Aug 16,100.1
Jul 16,100.5
Jun 16,104.0
May 16,97.9
April 16,98.4
Mar 16,93.5
Feb 16,95.7
Jan 16,91.5
