Year,Number of cases
3/8/20,21
3/9/20,57
3/10/20,69
3/11/20,155
3/12/20,355
3/13/20,619
3/14/20,642
3/15/20,1035
3/16/20,2121
3/17/20,2452
3/18/20,2971
3/19/20,3707
3/20/20,4007
3/21/20,2637
3/22/20,2579
3/23/20,3570
3/24/20,4501
3/25/20,4874
3/26/20,5047
3/27/20,5116
3/28/20,3480
3/29/20,3562
3/30/20,6130
3/31/20,5459
4/1/20,5449
4/2/20,5747
4/3/20,5670
4/4/20,3864
4/5/20,3781
4/6/20,6353
4/7/20,6043
4/8/20,5579
4/9/20,5071
4/10/20,4511
4/11/20,3732
4/12/20,2888
4/13/20,3312
4/14/20,4144
4/15/20,3877
4/16/20,3530
4/17/20,3585
4/18/20,2172
4/19/20,2346
4/20/20,3792
4/21/20,3063
4/22/20,3447
4/23/20,2841
4/24/20,2535
4/25/20,1596
4/26/20,1003
4/27/20,2288
4/28/20,2728
4/29/20,2341
4/30/20,2022
5/1/20,1887
5/2/20,1058
5/3/20,786
5/4/20,1551
5/5/20,1512
5/6/20,1398
5/7/20,1237
5/8/20,1083
5/9/20,657
5/10/20,457
5/11/20,1231
5/12/20,1285
5/13/20,1334
5/14/20,1111
5/15/20,873
5/16/20,486
5/17/20,359
5/18/20,895
5/19/20,1004
5/20/20,1076
5/21/20,1069
5/22/20,1039
5/23/20,456
5/24/20,467
5/25/20,465
5/26/20,1053
5/27/20,744
5/28/20,646
5/29/20,643
5/30/20,348
5/31/20,230
6/1/20,686
6/2/20,574
6/3/20,514
6/4/20,523
6/5/20,404
6/6/20,247
6/7/20,198
6/8/20,451
6/9/20,421
6/10/20,365
6/11/20,365
6/12/20,410
6/13/20,197
6/14/20,180
6/15/20,381
6/16/20,420
6/17/20,356
6/18/20,378
6/19/20,362
6/20/20,203
6/21/20,172
6/22/20,401
6/23/20,382
6/24/20,381
6/25/20,299
6/26/20,315
6/27/20,207
6/28/20,202
6/29/20,438
6/30/20,441
7/1/20,397
7/2/20,417
7/3/20,235
7/4/20,120
7/5/20,154
7/6/20,432
7/7/20,460
7/8/20,437
7/9/20,392
7/10/20,307
7/11/20,259
7/12/20,224
7/13/20,483
7/14/20,402
7/15/20,439
7/16/20,417
7/17/20,418
7/18/20,216
7/19/20,175
7/20/20,402
7/21/20,340
7/22/20,330
7/23/20,308
7/24/20,300
7/25/20,153
7/26/20,140
7/27/20,316
7/28/20,313
7/29/20,288
7/30/20,273
7/31/20,262
8/1/20,189
8/2/20,137
8/3/20,348
8/4/20,187
8/5/20,298
8/6/20,290
8/7/20,259
8/8/20,161
8/9/20,133
8/10/20,310
8/11/20,263
8/12/20,320
8/13/20,276
8/14/20,277
8/15/20,151
8/16/20,140
8/17/20,332
8/18/20,284
8/19/20,259
8/20/20,225
8/21/20,252
8/22/20,137
8/23/20,150
8/24/20,298
8/25/20,283
8/26/20,313
8/27/20,273
8/28/20,279
8/29/20,128
8/30/20,182
8/31/20,312
9/1/20,295
9/2/20,271
9/3/20,273
9/4/20,230
9/5/20,156
9/6/20,205
9/7/20,218
9/8/20,394
9/9/20,352
9/10/20,324
9/11/20,312
9/12/20,202
9/13/20,255
9/14/20,432
9/15/20,338
9/16/20,367
9/17/20,355
9/18/20,281
9/19/20,158
9/20/20,158
9/21/20,512
9/22/20,404
9/23/20,527
9/24/20,470
9/25/20,455
9/26/20,278
9/27/20,381
9/28/20,435
9/29/20,686
9/30/20,583
10/1/20,614
10/2/20,594
10/3/20,276
10/4/20,337
10/5/20,816
10/6/20,566
10/7/20,540
10/8/20,523
10/9/20,522
10/10/20,309
10/11/20,280
10/12/20,515
10/13/20,586
10/14/20,574
10/15/20,602
10/16/20,500
10/17/20,365
10/18/20,411
10/19/20,621
10/20/20,600
10/21/20,648
10/22/20,752
10/23/20,600
10/24/20,383
10/25/20,360
10/26/20,689
10/27/20,732
10/28/20,772
10/29/20,614
10/30/20,646
10/31/20,403
11/1/20,495
11/2/20,949
11/3/20,893
11/4/20,1094
11/5/20,1133
11/6/20,1030
11/7/20,834
11/8/20,785
11/9/20,1538
11/10/20,1582
11/11/20,1520
11/12/20,1493
11/13/20,1486
11/14/20,1020
11/15/20,890
11/16/20,1820
11/17/20,1718
11/18/20,1733
11/19/20,1853
11/20/20,1764
11/21/20,1282
11/22/20,1140
11/23/20,2302
11/24/20,2057
11/25/20,2350
11/26/20,800
11/27/20,2281
11/28/20,1773
11/29/20,1720
11/30/20,2784
12/1/20,3128
12/2/20,2984
12/3/20,2865
12/4/20,2770
12/5/20,1866
12/6/20,1732
12/7/20,3277
12/8/20,3033
12/9/20,3072
12/10/20,3096
12/11/20,2934
12/12/20,2163
12/13/20,2135
12/14/20,3533
12/15/20,3630
12/16/20,2746
12/17/20,1894
12/18/20,3383
12/19/20,2497
12/20/20,2286
12/21/20,4177
12/22/20,3951
12/23/20,3674
12/24/20,2903
12/25/20,978
12/26/20,3288
12/27/20,2730
12/28/20,5094
12/29/20,4841
12/30/20,4262
12/31/20,2566
1/1/21,771
