State,Number of property crimes
California,921114
Texas,693204
Florida,460846
New York,267155
Georgia,252249
North Carolina,247236
Ohio,240291
Illinois,233984
Washington,204224
Tennessee,181153
Pennsylvania,179665
Arizona,177638
Missouri,161946
Michigan,158296
South Carolina,151389
Colorado,149189
Louisiana,146993
Virginia,140213
Indiana,132694
Alabama,131133
New Jersey,118637
Maryland,117901
Minnesota,117236
Oregon,115170
Oklahoma,112587
Arkansas,86250
Wisconsin,85672
Kentucky,84769
Massachusetts,81317
Nevada,71525
Mississippi,70707
Utah,69546
Kansas,67428
New Mexico,65269
Iowa,54699
Connecticut,50862
Hawaii,40228
Nebraska,39449
District of Columbia,30821
West Virginia,28376
Montana,23440
Delaware,21931
Idaho,21793
Alaska,21294
Maine,16743
New Hampshire,16442
Rhode Island,16259
South Dakota,15667
North Dakota,15066
Wyoming,9093
Vermont,8888
