player,Number of matches
Lothar Matthäus,150
Miroslav Klose,137
Lukas Podolski,130
Bastian Schweinsteiger,121
Philipp Lahm,113
Jürgen Klinsmann,108
Jürgen Kohler,105
Dixie Dörner,105
Joachim Streich,105
Per Mertesacker,104
Franz Beckenbauer,103
Jürgen Croy,102
Thomas Häßler,101
Toni Kroos*,101
Ulf Kirsten,100
Thomas Müller,100
Michael Ballack,98
Berti Vogts,96
Manuel Neuer*,96
Sepp Maier,95
Karl-Heinz Rummenigge,95
Konrad Weise,94
Mesut Özil,92
Rudi Völler,90
Oliver Kahn,86
Andreas Brehme,86
Andreas Möller,85
Arne Friedrich,82
Bernd Schneider,81
Wolfgang Overath,81
Karlheinz Förster,81
Torsten Frings,79
Mario Gomez,78
Sami Khedira,77
Jérôme Boateng,76
Toni Schumacher,76
Guido Buchwald,76
Eberhard Vogel,76
Bernd Bransch,76
Matthias Sammer,74
Pierre Littbarski,73
Christian Ziege,72
Uwe Seeler,72
Hans-Peter Briegel,72
Lothar Kurbjuweit,72
Paul Janes,71
Martin Hoffmann,71
Mats Hummels,70
Oliver Bierhoff,70
Peter Ducke,70
