Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",114.87
Manufacturing,105.66
Professional and business services,75.91
Government and government enterprises,63.04
"Educational services, health care, and social assistance",59.73
Retail trade,37.95
Wholesale trade,37.91
"Arts, entertainment, recreation, accommodation, and food services",20.48
Construction,19.88
Information,19.87
"Mining, quarrying, and oil and gas extraction",19.86
Transportation and warehousing,19.08
Utilities,9.42
"Agriculture, forestry, fishing, and hunting",4.46
