Year,Number of recoveries
18 May*,150376
17 May,149576
16 May,146446
15 May,144783
14 May,143374
13 May,140823
12 May,138930
11 May,137139
10 May,136166
9 May,133952
8 May,131148
7 May,128511
6 May,126002
5 May,123486
4 May,121343
3 May,118902
2 May,117248
1 May,114897
30 Apr,112050
29 Apr,108947
28 Apr,102548
27 Apr,100875
26 Apr,98732
25 Apr,95708
24 Apr,92355
23 Apr,89250
22 Apr,85915
21 Apr,82514
20 Apr,80587
19 Apr,77357
18 Apr,74662
17 Apr,72963
16 Apr,74797
15 Apr,70853
14 Apr,67504
13 Apr,64727
12 Apr,62391
11 Apr,59109
10 Apr,55668
9 Apr,52165
8 Apr,48021
7 Apr,43208
6 Apr,40437
5 Apr,38080
4 Apr,34219
3 Apr,30513
2 Apr,26743
1 Apr,22647
31 Mar,19259
30 Mar,16780
29 Mar,14709
28 Mar,12285
27 Mar,9357
26 Mar,7015
25 Mar,5367
24 Mar,3794
23 Mar,3355
22 Mar,2575
21 Mar,2125
20 Mar,1588
19 Mar,1107
18 Mar,1081
17 Mar,1028
16 Mar,530
15 Mar,517
14 Mar,517
13 Mar,193
12 Mar,189
11 Mar,183
10 Mar,135
9 Mar,23
