Health or fitness app,Revenue in U.S. dollars
Calorie Counter - MyFitnessPal,1443752
Fitbit,1432091
"Calm - Meditate, Sleep, Relax",1285105
"Strava: Track Running, Cycling & Swimming",1153954
Headspace: Meditation & Sleep,661976
"Komoot — Cycling, Hiking & Mountain Biking Maps",578910
Freeletics Training Coach – Bodyweight & Mindset,499003
"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",498142
"Lifesum - Diet Plan, Macro Calculator & Food Diary",349361
"AllTrails: Hiking, Running & Mountain Bike Trails",334930
