Month,Consumer price index (2015=100)
Nov 2020,110.37
Oct 2020,109.42
Sep 2020,109.99
Aug 2020,109.95
Jul 2020,109.78
Jun 2020,109.94
May 2020,109.66
Apr 2020,108.85
Mar 2020,109.21
Feb 2020,108.5
Jan 2020,107.52
Dec 2019,107.9
Nov 2019,107.17
Oct 2019,107.97
Sep 2019,108.39
Aug 2019,108.07
Jul 2019,107.42
Jun 2019,107.59
May 2019,108.62
Apr 2019,106.35
Mar 2019,107.81
Feb 2019,106.95
Jan 2019,107.78
Dec 2018,105.46
Nov 2018,105.03
Oct 2018,105.64
Sep 2018,105.45
Aug 2018,103.68
Jul 2018,104.78
Jun 2018,104.38
May 2018,103.76
Apr 2018,104.3
Mar 2018,105.26
Feb 2018,105.29
Jan 2018,104.4
