Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",558.22
Professional and business services,391.1
Information,326.81
Manufacturing,318.82
Government and government enterprises,292.07
"Educational services, health care, and social assistance",204.26
Retail trade,148.58
Wholesale trade,144.43
"Arts, entertainment, recreation, accommodation, and food services",112.66
Construction,88.96
Transportation and warehousing,74.97
"Agriculture, forestry, fishing, and hunting",51.8
Utilities,35.52
"Mining, quarrying, and oil and gas extraction",16.04
