State,Median income in current U.S. dollars
Maryland,95572
District of Columbia,93111
Hawaii,88006
New Jersey,87726
Massachusetts,87707
Connecticut,87291
New Hampshire,86900
Utah,84523
Washington,82454
Minnesota,81426
Virginia,81313
Alaska,78394
California,78105
Oregon,74413
Illinois,74399
Vermont,74305
Delaware,74194
Kansas,73151
Nebraska,73071
Colorado,72499
New York,71855
Nevada,70906
Arizona,70674
Pennsylvania,70582
Rhode Island,70151
North Dakota,70031
United States,68703
Texas,67444
Wisconsin,67355
Indiana,66693
Maine,66546
Iowa,66054
Idaho,65988
Wyoming,65134
Ohio,64663
South Dakota,64255
Michigan,64119
South Carolina,62028
North Carolina,61159
Missouri,60597
Montana,60195
Oklahoma,59397
Florida,58368
Georgia,56628
Tennessee,56627
Alabama,56200
Kentucky,55662
Arkansas,54539
West Virginia,53706
New Mexico,53113
Louisiana,51707
Mississippi,44787
