Metropolitan statistical area,"Burglary cases per 100,000 inhabitants"
"Lake Charles, LA",1117.7
"Alexandria, LA",1106.4
"Jonesboro, AR",1058.2
"Florence, SC",948.8
"Monroe, LA",948.0
"Bakersfield, CA",847.3
"Vallejo, CA",833.7
"Lubbock, TX",813.9
"Lawton, OK",806.7
"Danville, IL",793.4
"Sumter, SC",780.7
"Memphis, TN-MS-AR",769.0
"Tulsa, OK",737.0
"Goldsboro, NC",719.8
"Albany, GA",719.6
"Macon-Bibb County, GA",717.7
"New Bern, NC",705.5
"Oklahoma City, OK",678.7
"Enid, OK",676.3
"Springfield, IL",655.2
"Springfield, OH",650.6
"Pueblo, CO",641.7
"Asheville, NC",624.8
"Amarillo, TX",620.2
"Lafayette, LA",619.4
"Springfield, MO",614.2
"Spartanburg, SC",610.5
"Shreveport-Bossier City, LA",608.3
"Fort Smith, AR-OK",603.3
"Anchorage, AK",600.1
"Burlington, NC",590.0
"Panama City, FL",589.6
"Kalamazoo-Portage, MI",586.4
"Greensboro-High Point, NC",578.8
"Joplin, MO",574.0
"Las Vegas-Henderson-Paradise, NV",572.8
"Sioux City, IA-NE-SD",569.7
"Corpus Christi, TX",569.1
"Tallahassee, FL",560.3
"Texarkana, TX-AR",558.8
"Lake Havasu City-Kingman, AZ",555.4
"Gulfport-Biloxi, MS",550.8
"Baton Rouge, LA",547.0
"Lima, OH",546.9
"Vineland-Bridgeton, NJ",545.5
"Spokane-Spokane Valley, WA",543.9
"St. Joseph, MO-KS",542.6
"Columbia, SC",532.4
"Victoria, TX",530.6
"Fairbanks, AK",529.7
