Month,Number of cases
Apr 2,210
Apr 1,150
Mar 31,53
Mar 30,41
Mar 29,102
Mar 28,63
Mar 27,72
Mar 26,0
Mar 25,85
Mar 24,50
Mar 23,45
Mar 22,0
Mar 21,13
Mar 20,0
Mar 19,27
Mar 18,15
Mar 17,0
Mar 16,0
Mar 15,13
Mar 14,0
Mar 13,0
Mar 12,11
Mar 11,0
Mar 10,29
Mar 9,0
Mar 8,0
Mar 7,16
Mar 6,0
Mar 5,2
Mar 4,0
Mar 3,6
Mar 2,0
Mar 1,0
Feb 29,2
Feb 28,6
Feb 27,0
Feb 26,0
Feb 25,0
Feb 24,0
Feb 23,0
Feb 22,4
Feb 21,0
Feb 20,0
Feb 19,0
Feb 18,0
Feb 17,0
Feb 16,1
Feb 15,0
Feb 14,0
Feb 13,0
Feb 12,0
Feb 11,0
Feb 10,1
Feb 9,0
Feb 8,2
Feb 7,0
Feb 6,0
Feb 5,0
Feb 4,0
Feb 3,0
Feb 2,1
Feb 1,0
Jan 31,0
Jan 30,0
Jan 29,4
Jan 28,0
Jan 27,0
Jan 26,0
Jan 25,0
Jan 24,0
Jan 23,0
Jan 22,0
