Football player,Payroll in thousand U.S. dollars
Nicolas Lodeiro,2502.5
Raul Ruidiaz,2000.0
Victor Rodriguez,1087.5
Emanuel  Cecchini,789.0
Kim Kee-Hee,772.0
Roman Torres,740.0
Jordan Morris,619.6
Gustav Svensson,600.0
Kelvin Leerdam,600.0
Cristian Roldan,596.54
Brad Smith,549.09
Joevin Jones,528.67
Xavier Arreaga,500.85
Will Bruin,358.33
Stefan Frei,337.5
Harry Shipp,235.0
Daniel Leyva,89.87
Alfonso Ocampo-Chavez,85.75
Nouhou Tolo,84.0
Jordy Delem,70.88
Bryan Meredith,70.88
Saad Abdul-Salaam,70.25
Jonathan Campbell,70.25
Justin Dhillon,70.25
Luis  Silva,70.25
Trey Muse,65.0
Handwalla Bwana,57.23
Alex Roldan,57.23
