Year,GDP per capita in U.S. dollars
2025*,16791.7
2024*,16485.4
2023*,16126.32
2022*,15803.94
2021*,14674.53
2020*,14423.37
2019*,18198.31
2018,19092.53
2017,17045.15
2016,16332.37
2015,18243.81
2014,21814.15
2013,21920.15
2012,23282.2
2011,22726.64
2010,19774.8
2009,16784.91
2008,21866.27
2007,15436.81
2006,13938.21
2005,11873.18
2004,9635.83
2003,8565.26
2002,8108.72
2001,7961.21
2000,8120.72
1999,6605.92
1998,6037.75
1997,6965.2
1996,6864.96
1995,6355.28
1994,6116.03
1993,6102.67
1992,6292.66
1991,5937.75
1990,6340.52
1989,4605.01
1988,4362.95
1987,4488.92
1986,4548.85
1985,6129.2
