Year,GDP per capita in U.S. dollars
2025,764.58
2024,745.25
2023,728.21
2022,712.58
2021,697.49
2020,732.07
2019,772.86
2018,868.28
2017,765.64
2016,735.76
2015,815.63
2014,830.03
2013,810.17
2012,766.81
2011,740.85
2010,662.01
2009,668.27
2008,674.86
2007,615.81
2006,505.5
2005,465.33
2004,387.95
2003,329.77
2002,393.0
2001,413.72
2000,462.49
1999,494.26
1998,450.95
1997,411.61
1996,364.99
1995,359.76
1994,231.27
1993,81.26
1992,72.42
1991,123.0
1990,139.69
1989,112.0
1988,123.63
1987,190.25
1986,393.13
1985,360.21
