Year,Gross domestic product in billion international dollars
2021*,920.97
2020*,864.89
2019*,911.56
2018,915.75
2017,916.72
2016,876.39
2015,885.83
2014,853.4
2013,859.49
2012,824.83
2011,817.7
2010,755.6
2009,678.22
2008,715.44
2007,674.42
2006,602.51
2005,541.25
2004,482.22
2003,431.16
2002,388.5
2001,429.21
2000,439.37
1999,433.19
1998,441.98
1997,420.86
1996,382.69
1995,356.12
1994,359.02
1993,332.15
1992,305.38
1991,270.69
1990,236.96
1989,231.51
1988,239.56
1987,236.02
1986,224.64
1985,205.52
1984,214.1
