Year,GDP per capita in U.S. dollars
2025*,16284.03
2024*,15088.81
2023*,13963.95
2022*,12924.31
2021*,11955.58
2020*,10839.44
2019*,10522.34
2018,9919.81
2017,8823.46
2016,8119.62
2015,8084.8
2014,7694.15
2013,7073.49
2012,6306.66
2011,5560.74
2010,4499.79
2009,3813.41
2008,3446.78
2007,2691.07
2006,2095.21
2005,1751.43
2004,1499.75
2003,1282.2
2002,1141.15
2001,1044.97
2000,951.15
1999,865.23
1998,820.91
1997,774.91
1996,703.07
1995,603.54
1994,468.66
1993,520.96
1992,420.03
1991,356.77
1990,346.86
1989,406.52
1988,368.07
1987,299.83
1986,279.91
1985,293.01
