Year,GDP per capita in U.S. dollars
2025*,68745.43
2024*,65953.62
2023*,63124.14
2022*,60461.79
2021*,57659.73
2020*,50339.2
2019,51404.43
2018,54295.73
2017,53459.07
2016,51590.47
2015,51274.28
2014,59528.9
2013,60069.35
2012,56978.61
2011,59454.4
2010,51925.6
2009,46047.31
2008,55592.67
2007,53185.65
2006,46145.74
2005,43048.11
2004,42407.83
2003,36936.66
2002,29566.18
2001,26970.43
2000,29287.8
1999,30601.86
1998,30180.21
1997,29932.76
1996,32614.25
1995,29911.82
1994,25672.07
1993,24034.57
1992,32142.44
1991,31075.22
1990,29792.96
1989,24985.75
1988,23951.92
1987,21282.67
1986,17574.09
1985,13345.57
