Team (year/s of victory),Number of victories
"Independiente (Argentina) (1964, 1965, 1972, 1973, 1974, 1975, 1984)",7
"Boca Juniors (Argentina) (1977, 1978, 2000, 2001, 2003, 2007)",6
"Peñarol (Uruguay) (1960, 1961, 1966, 1982, 1987)",5
"River Plate (Argentina) (1986, 1996, 2015, 2018)",4
"Estudiantes (Argentina) (1968, 1969, 1970, 2009)",4
"Olimpia (Paraguay) (1979, 1990, 2002)",3
"Nacional (Uruguay) (1971, 1980, 1988)",3
"São Paulo (Brazil) (1992, 1993, 2005)",3
"Grêmio (Brazil) (1983, 1995, 2017)",3
"Santos (Brazil) (1962, 1963, 2011)",3
"Cruzeiro (Brazil) (1976, 1997)",2
"Internacional (Brazil) (2006, 2010)",2
"Atlético Nacional (Colombia) (1989, 2016)",2
"Flamengo (Brazil) (1981, 2019)",2
Palmeiras (Brazil) (1999),1
Colo Colo (Chile) (1991),1
Racing Club (Argentina) (1967),1
Argentinos Juniors (Argentina) (1985),1
Vélez Sarsfield (Argentina) (1994),1
Vasco de Gama (Brazil) (1998),1
Once Caldas (Colombia) (2004),1
Liga de Quito (Ecuador) (2008),1
Corinthians (Brazil) (2012),1
Atlético Mineiro (Brazil) (2013),1
San Lorenzo (Argentina) (2014),1
