State,Exports in million U.S. dollars
Texas,42638
Louisiana,9843
New Jersey,7370
California,7072
Ohio,6195
Florida,5424
Illinois,5373
Pennsylvania,5089
Tennessee,3890
New York,3887
Michigan,3600
North Carolina,3550
Georgia,3300
South Carolina,3010
Alabama,2234
Virginia,2173
Kentucky,2161
Indiana,1957
Missouri,1833
Oregon,1823
West Virginia,1527
Iowa,1474
Wisconsin,1317
Minnesota,1254
Massachusetts,1245
Wyoming,1091
Utah,1003
Maryland,941
Arizona,938
Mississippi,917
Connecticut,844
Arkansas,744
Washington,743
Oklahoma,708
Kansas,595
Nebraska,566
Delaware,554
Colorado,486
North Dakota,277
Idaho,264
Rhode Island,260
Montana,216
Nevada,158
New Mexico,123
New Hampshire,95
South Dakota,76
Vermont,59
Maine,35
District of Columbia,8
Hawaii,4
Alaska,3
