Search query,Year-on-year growth of search phrase volume
Gluten free foods,140%
Vegan ice cream,109%
Vegan chocolate,86%
Organic apple cider vinegar,86%
Halal meat,85%
Vegan cheese,80%
Best weight loss shakes,78%
Vegan mac and cheese,69%
Gluten intolerance,69%
Lactose free milk,65%
Weight loss shakes,65%
Dairy,50%
Lactose intolerant,46%
Kosher definition,29%
Organic,27%
Symptoms of gluten intolerance,24%
Gluten free bread,23%
Low glycemic index foods,21%
Gluten free flour,17%
Does rice have gluten,17%
Is quinoa gluten free,16%
Gluten free pasta,15%
Brown sugar substitute,12%
Bland diet,8%
Turbinado sugar,6%
Renal diet,6%
Halal,3%
Bone broth diet,0%
Gluten intolerance symptoms,-1%
Glycemic index,-2%
Organic coconut oil,-4%
Sugar free gummy bears,-6%
Lactose intolerance,-7%
Alkaline foods,-10%
Paleo mayo,-13%
Gluten free diet,-14%
Kosher,-21%
Organic food,-30%
