Year,"Deaths per 1,000 live births"
2020,2.0
2015,3.0
2010,3.0
2005,4.0
2000,5.0
1995,6.0
1990,7.0
1985,8.0
1980,10.0
1975,14.0
1970,18.0
1965,23.0
1960,31.0
1955,40.0
1950,64.81
1945,89.62
1940,99.32
1935,102.3
1930,125.35
1925,141.91
1920,197.69
1915,173.25
1910,196.61
1905,220.16
1900,226.82
1895,247.15
1890,243.64
1885,286.76
1880,273.43
1875,275.63
1870,359.58
1865,362.63
1860,376.69
1855,366.45
1850,335.8
1845,330.88
1840,364.09
1835,375.7
1830,353.54
1825,346.63
1820,361.68
1815,380.05
1810,404.76
1805,420.04
1800,420.04
