Year,Inflation rate compared to previous year
2025*,0.8%
2024*,0.8%
2023*,0.67%
2022*,0.5%
2021*,0.17%
2020*,-0.55%
2019,0.84%
2018,0.81%
2017,0.24%
2016,-0.55%
2015,-0.63%
2014,0.48%
2013,1.53%
2012,1.71%
2011,3.45%
2010,2.69%
2009,3.32%
2008,4.59%
2007,0.52%
2006,2.11%
2005,1.33%
2004,-0.41%
2003,0.67%
2002,5.69%
2001,1.12%
2000,1.13%
1999,5.19%
1998,5.44%
1997,9%
1996,11.28%
1995,10.04%
1994,12.34%
1993,10.94%
1992,11.95%
1991,19.01%
1990,17.17%
1989,20.25%
1988,16.23%
1987,19.85%
1986,48.16%
1985,304.58%
