Household composition,Percentage of respondents
"One adult, retired mainly dependent on state pensions*",87%
"One adult, other retired",93%
"One adult, non-retired",94%
"One adult, one child",97%
"One adult, two or more children",100%
"Two adults, retired mainly dependent on state pensions*",100%
"Two adults, other retired",99%
"Two adults, non-retired",99%
"Two adults, one child",100%
"Two adults, two children",100%
"Two adults, three children",100%
"Two adults, four or more children",100%
Three adults,99%
"Three adults, one or more children",100%
All other households without children,100%
All other households with children,100%
