Response,Share of respondents
"Unavailability of essential items (vegetables, medicines)",37%
A loved one getting sick,25%
Access to health services,25%
Impact on mental and emotional stability,22%
Isolation,21%
Losing my job due to economic slowdown,20%
Being stuck away from family and friends,18%
Getting sick,18%
Being responsible for others getting sick,18%
Pay cut in the near future,16%
Losing money in the stock market,13%
Loss of non-essential services,10%
Not getting my yearly increments/bonus,8%
Don't know/can't say,5%
Others,3%
Not concerned about anything COVID-19 related,2%
