Month,Cumulative number of cured patients
May 17,14630
May 16,14460
May 15,14301
May 14,14111
May 13,13937
May 12,13732
May 11,13697
May 10,13642
May 9,13411
May 8,13201
May 7,12980
May 6,12731
May 5,12441
May 4,12378
May 3,12309
May 2,12211
May 1,11892
April 30,11576
April 29,11283
April 28,10943
April 27,10878
April 26,10785
April 25,10417
April 24,10122
April 23,9800
April 22,9433
April 21,9002
April 20,8895
April 19,8757
April 18,8348
April 17,7961
April 16,7526
April 15,7107
April 14,6868
April 13,6707
April 12,6463
April 11,5986
April 10,5568
April 9,5146
April 8,4681
April 7,4157
April 6,3986
April 5,3751
April 4,3247
April 3,2872
April 2,2495
April 1,2132
March 31,1696
March 30,1527
March 29,1359
March 28,1063
March 27,858
March 26,675
March 25,547
March 24,410
March 23,350
March 22,340
March 21,263
March 20,204
