Year,Emissions in million metric tons of carbon dioxide
2019,5130
2018,5281
2017,5131
2016,5170
2015,5263
2014,5413
2013,5356
2012,5229
2011,5446
2010,5585
2009,5392
2008,5817
2007,6003
2006,5914
2005,5999
2004,5979
2003,5860
2002,5809
2001,5765
2000,5867
1999,5693
1998,5631
1997,5583
1996,5512
1995,5323
1994,5264
1993,5186
1992,5095
1991,4995
1990,5040
1989,5068
1988,4981
1987,4756
1986,4598
1985,4587
1984,4596
1983,4371
1982,4394
1981,4627
1980,4750
1979,4947
1978,4884
1977,4836
1976,4694
1975,4426
