industry,Average monthly salary in NOK
Mining and quarrying,74600
Financial and insurance activities,69070
"Electricity, gas and steam",62510
Information and communication,61540
"Professional, scientific and technical activities",58470
Real estate activities,56150
Public administration and defence,50700
Manufacturing,48410
Transportation and storage,46720
Education,46320
Construction,44570
"Water supply, sewerage, waste",43780
Human health and social work activities,43770
Other service activities,43580
Wholesale and retail trade: repair of motor vehicles and motorcycles,42420
"Arts, entertainment and recreation",41210
Administrative and support service activities,40430
"Agriculture, forestry and fishing",38830
Accommodation and food service activities,32510
