Indoor exhibition venues,Net exhibition space in thousand square meters
Messe Hannover(Germany),466.1
Messe Frankfurt(Germany),345.7
Fiera Milano(Italy),345.0
Pazhou Complex(China),338.0
Koelnmesse(Germany),284.0
Messe Duesseldorf(Germany),262.7
Paris Nord Villepinte(France),241.58
McCormick Place(USA),241.52
Feria Valencia(Spain),230.6
Porte de Versailles(France),228.21
Crocus International(Russia),226.4
Fira de Barcelona: Gran Via venue(Spain),205.0
BolognaFiere(Italy),200.0
Feria de Madrid / IFEMA(Spain),200.0
Shanghai New International Expo Centre(China),200.0
