Month,Number of deaths
"Jan 5, 2021",76329
"Jan 4, 2021",75680
"Jan 3, 2021",75332
"Jan 2, 2021",74985
"Jan 1, 2021",74621
"Dec 31, 2020",74159
"Dec 30, 2020",73604
"Dec 29, 2020",73029
"Dec 28, 2020",72370
"Dec 27, 2020",71925
"Dec 26, 2020",71627
"Dec 25, 2020",71359
"Dec 24, 2020",70900
"Dec 23, 2020",70395
"Dec 22, 2020",69842
"Dec 21, 2020",69214
"Dec 20, 2020",68799
"Dec 19, 2020",68447
"Dec 18, 2020",67894
"Dec 17, 2020",67220
"Dec 16, 2020",66537
"Dec 15, 2020",65857
"Dec 14, 2020",65011
"Dec 13, 2020",64520
"Dec 12, 2020",64036
"Dec 11, 2020",63387
"Dec 10, 2020",62626
"Dec 9, 2020",61739
"Dec 8, 2020",61240
"Dec 7, 2020",60606
"Dec 6, 2020",60078
"Dec 5, 2020",59514
"Dec 4, 2020",58852
"Dec 3, 2020",58038
"Dec 2, 2020",57045
"Dec 1, 2020",56361
"Nov 30, 2020",55576
"Nov 29, 2020",54904
"Nov 28, 2020",54363
"Nov 27, 2020",53677
"Nov 26, 2020",52850
"Nov 25, 2020",52028
"Nov 24, 2020",51306
"Nov 23, 2020",50453
"Nov 22, 2020",49823
"Nov 21, 2020",49261
"Nov 20, 2020",48569
"Nov 19, 2020",47870
"Nov 18, 2020",47217
"Nov 17, 2020",46464
"Nov 16, 2020",45733
"Nov 15, 2020",45229
"Nov 14, 2020",44683
"Nov 13, 2020",44139
"Nov 12, 2020",43589
"Nov 11, 2020",42953
"Nov 10, 2020",42330
"Nov 9, 2020",41750
"Nov 8, 2020",41394
"Nov 7, 2020",41063
"Nov 6, 2020",40638
"Nov 5, 2020",40192
"Nov 4, 2020",39747
"Nov 3, 2020",39412
"Nov 2, 2020",39059
"Nov 1, 2020",38826
"Oct 31, 2020",38618
"Oct 30, 2020",38321
"Oct 29, 2020",38122
"Oct 28, 2020",37905
"Oct 27, 2020",37700
"Oct 26, 2020",37479
"Oct 25, 2020",37338
"Oct 24, 2020",37210
"Oct 23, 2020",37059
"Oct 22, 2020",36968
"Oct 21, 2020",36832
"Oct 20, 2020",36705
"Oct 19, 2020",36616
"Oct 18, 2020",36543
"Oct 17, 2020",36474
"Oct 16, 2020",36427
"Oct 15, 2020",36372
"Oct 14, 2020",36289
"Oct 13, 2020",36246
"Oct 12, 2020",36205
"Oct 11, 2020",36166
"Oct 10, 2020",36140
"Oct 9, 2020",36111
"Oct 8, 2020",36083
"Oct 7, 2020",36061
"Oct 6, 2020",36030
"Oct 5, 2020",36002
"Oct 4, 2020",35986
"Oct 3, 2020",35968
"Oct 2, 2020",35941
"Oct 1, 2020",35918
"Sep 30, 2020",35894
"Sep 29, 2020",35875
"Sep 28, 2020",35851
