admission category,Average earned income in Canadian dollars
"Canadian experience class, principal applicant",63900
"Provincial/territorial nominee, principal applicant",40900
"Skilled worker and skilled trades, principal applicant",38600
"Caregiver, principal applicant",27800
"Canadian experience class, spouse and dependent",27700
Other immigrant,26000
Protected person in Canada,21100
"Business programs, principal applicant",20800
"Skilled worker and skilled trades, spouse and dependent",19800
Sponsored spouse or partner,19700
"Provincial/territorial nominee, spouse and dependent",16900
"Caregiver, spouse and dependent",11600
Dependent abroad of a protected person in Canada,10900
Sponsored parent or grandparent,9500
Privately sponsored refugee,9400
"Business programs, spouse and dependent",9400
Other immigrant sponsored by family,7500
Blended visa office-referred program,5100
Government-assisted refugee,4200
