Month,Case fatality rate
Jan 1,5%
Dec 4,5.1%
Nov 6,5.2%
Oct 2,5.2%
Sep 11,5.3%
Sep 4,5.3%
Aug 28,5.2%
Aug 21,5.3%
Aug 14,5.3%
Aug 7,5.3%
Jul 30,5.3%
Jul 23,5.4%
Jul 16,5.45%
Jul 9,5.46%
Jul 2,5.47%
Jun 25,5.48%
Jun 18,5.49%
Jun 11,5.51%
Jun 4,5.51%
May 28,5.51%
May 21,5.52%
May 14,5.52%
May 7,5.52%
Apr 30,5.52%
Apr 23,5.53%
Apr 17,5.54%
Apr 16,4.01%
Apr 9,4.03%
Apr 2,4.02%
Mar 26,4.03%
Mar 19,4%
Mar 18,4%
Mar 17,3.98%
Mar 16,3.97%
Mar 15,3.95%
Mar 14,3.94%
Mar 13,3.93%
Mar 12,3.92%
Mar 11,3.91%
Mar 10,3.88%
Mar 9,3.86%
Mar 8,3.83%
Mar 7,3.8%
Mar 6,3.77%
Mar 5,3.74%
Mar 4,3.71%
Mar 3,3.67%
Mar 2,3.64%
Mar 1,3.59%
Feb 29,3.58%
Feb 28,3.53%
Feb 27,3.49%
Feb 26,3.48%
Feb 25,3.43%
Feb 24,3.36%
Feb 23,3.17%
Feb 22,3.07%
Feb 21,2.96%
Feb 19,2.84%
Feb 20,2.7%
Feb 17,2.58%
Feb 18,2.51%
Feb 16,2.43%
Feb 15,2.29%
Feb 9,2.16%
Feb 13,2.29%
Feb 12,2.49%
Feb 11,2.38%
Feb 10,2.26%
Feb 14,2.18%
Feb 8,2.09%
Feb 7,2.04%
Feb 6,2.01%
Feb 4,2.02%
Feb 5,2.08%
Feb 3,2.1%
Feb 2,2.11%
Jan 31,2.19%
Feb 1,2.19%
Jan 30,2.2%
Jan 29,2.2%
Jan 28,2.34%
Jan 27,2.92%
Jan 26,2.82%
Jan 24,3.1%
Jan 25,2.95%
Jan 23,2.73%
Jan 22,3.23%
Jan 21,1.55%
Jan 20,1.28%
Jan 19,1.39%
