Vegetable,Amount in million metric tons
Tomatoes,182.26
"Onions, dry",96.77
Cucumbers and gherkins,75.22
Cabbages and other brassicas,69.38
Eggplants (aubergines),54.08
Carrots and turnips,40.0
"Chillies and peppers, green",36.77
Garlic,28.49
"Pumpkins, squash and gourds",27.64
Lettuce and chicory,27.26
Cauliflowers and broccoli,26.5
Spinach,26.26
"Beans, green",24.75
"Peas, green",21.23
"Maize, green",11.52
Okra,9.87
Asparagus,9.11
Mushrooms and truffles,8.99
"Onions, shallots, green",5.47
Cassava leaves,2.37
"Leeks, other alliaceous vegetables",2.18
String beans,1.87
Artichokes,1.68
