Response,Percentage of executives
I feel used up at the end of the workday,47%
I feel emotionally drained from my work,35%
I feel tired when I get up in the morning and have to face another day…,34%
I have become less enthusiastic about my work,28%
I feel burnt out from my work,25%
I just want to do my job and not be bothered,23%
I have become less interested in my work,22%
I have become more cynical about whether my work contributes to…,22%
I doubt the significance of my work,18%
Working all day is really a strain for me,17%
