Month,Price in U.S. dollars
"06 Jan, 2021",1123.16
"05 Jan, 2021",1017.86
"04 Jan, 2021",976.89
"03 Jan, 2021",771.48
"02 Jan, 2021",730.04
"01 Jan, 2021",741.12
Dec 2020,746.06
Nov 2020,567.68
Oct 2020,383.68
Sep 2020,357.33
Aug 2020,423.08
Jul 2020,336.21
Jun 2020,228.33
May 2020,243.63
Apr 2020,215.2
Mar 2020,133.76
Feb 2020,229.79
Jan 2020,186.26
Dec 2019,132.07
Nov 2019,153.67
Oct 2019,183.37
Sep 2019,171.01
Aug 2019,168.69
Jul 2019,210.08
Jun 2019,314.05
May 2019,253.27
Apr 2019,153.68
Mar 2019,141.94
Feb 2019,131.67
Jan 2019,107.57
Dec 2018,131.37
Nov 2018,111.49
Oct 2018,195.66
Sep 2018,231.31
Aug 2018,283.75
Jul 2018,455.52
Jun 2018,429.17
May 2018,562.18
Apr 2018,687.26
Mar 2018,411.02
Feb 2018,888.4
Jan 2018,1066.72
Dec 2017,719.83
Nov 2017,461.17
Oct 2017,308.99
Sep 2017,295.75
Aug 2017,380.71
Jul 2017,194.97
Jun 2017,288.28
May 2017,216.58
Apr 2017,75.04
Mar 2017,49.75
Feb 2017,15.86
Jan 2017,10.51
Dec 2016,8.01
Nov 2016,8.26
Oct 2016,11.44
Sep 2016,13.04
Aug 2016,11.22
Jul 2016,12.38
Jun 2016,12.49
May 2016,12.7
Apr 2016,7.65
Mar 2016,11.91
Feb 2016,6.56
Jan 2016,2.48
Dec 2015,0.96
Nov 2015,0.86
Oct 2015,0.95
Sep 2015,0.66
Aug 2015,1.25
