Month,Number of patients in ICU
Dec 15,531
Dec 14,540
Dec 13,532
Dec 12,509
Dec 11,509
Dec 10,510
Dec 9,507
Dec 8,510
Dec 7,506
Dec 6,508
Dec 5,506
Dec 4,511
Dec 3,501
Dec 2,509
Dec 1,511
Nov 30,518
Nov 29,523
Nov 28,538
Nov 27,549
Nov 26,565
Nov 25,570
Nov 24,564
Nov 23,570
Nov 22,569
Nov 21,568
Nov 20,586
Nov 19,593
Nov 18,591
Nov 17,607
Nov 16,622
Nov 15,625
Nov 14,622
Nov 13,646
Nov 12,651
Nov 11,654
Nov 10,654
Nov 9,654
Nov 8,646
Nov 7,641
Nov 6,650
Nov 5,653
Nov 4,655
Nov 3,650
Nov 2,652
Nov 1,629
Oct 31,620
Oct 30,614
Oct 29,606
Oct 28,594
Oct 27,577
Oct 26,564
Oct 25,538
Oct 24,523
Oct 23,515
Oct 22,503
Oct 21,491
Oct 20,476
Oct 19,448
Oct 18,410
Oct 17,387
Oct 16,394
Oct 15,357
Oct 14,339
Oct 13,320
Oct 12,300
Oct 11,278
Oct 10,273
Oct 9,273
Oct 8,256
Oct 7,251
Oct 6,238
Oct 5,217
Oct 4,202
Oct 3,189
Oct 2,180
Oct 1,180
Sep 30,175
Sep 29,171
Sep 28,163
Sep 27,155
Sep 26,143
Sep 25,139
Sep 24,125
Sep 23,118
Sep 22,111
Sep 21,103
Sep 20,94
Sep 19,81
Sep 18,70
Sep 17,66
Sep 16,66
Sep 15,71
Sep 14,70
Sep 13,60
Sep 12,58
Sep 11,54
Sep 10,49
Sep 9,46
Sep 8,47
Sep 7,46
Sep 6,45
Sep 5,41
Sep 4,45
Sep 3,41
Sep 2,39
Sep 1,41
Aug 31,45
Aug 30,46
Aug 29,41
Aug 28,41
Aug 27,43
Aug 26,43
Aug 25,45
Aug 24,50
Aug 23,50
Aug 22,47
Aug 21,51
Aug 20,47
Aug 19,46
Aug 18,47
Aug 17,52
Aug 16,43
Aug 15,42
Aug 14,44
Aug 13,39
Aug 12,42
Aug 11,42
Aug 10,39
Aug 9,40
Aug 8,35
Aug 7,34
Aug 6,34
Aug 5,32
Aug 4,33
Aug 3,32
Aug 2,29
Aug 1,28
Jul 31,27
Jul 30,24
Jul 29,22
Jul 28,23
Jul 27,24
Jul 26,20
Jul 25,20
Jul 24,23
Jul 23,24
Jul 22,26
Jul 21,26
Jul 20,24
Jul 19,24
Jul 18,23
Jul 17,24
Jul 16,25
Jul 15,25
Jul 14,25
Jul 13,28
Jul 12,29
Jul 11,28
Jul 10,30
Jul 9,29
Jul 8,29
Jul 7,32
Jul 6,34
Jul 5,34
Jul 4,36
Jul 3,35
Jul 2,38
Jul 1,36
Jun 30,40
Jun 29,41
Jun 28,41
Jun 27,45
Jun 26,50
Jun 25,56
Jun 24,56
Jun 23,60
Jun 22,67
Jun 21,65
Jun 20,69
Jun 19,71
Jun 18,76
Jun 17,83
Jun 16,91
Jun 15,100
Jun 14,101
Jun 13,102
Jun 12,104
Jun 11,107
Jun 10,111
Jun 9,114
Jun 8,122
Jun 7,123
Jun 6,124
Jun 5,126
Jun 4,128
Jun 3,130
Jun 2,144
Jun 1,149
May 31,152
May 30,149
May 29,158
May 28,168
May 27,176
May 26,190
May 25,213
May 24,223
May 23,224
May 22,240
May 21,251
May 20,272
May 19,282
May 18,315
May 17,320
May 16,327
May 15,343
May 14,359
May 13,385
May 12,403
May 11,445
May 10,451
May 9,469
May 8,491
May 7,522
May 6,543
May 5,570
May 4,612
May 3,621
May 2,635
May 1,673
Apr 30,708
Apr 29,732
Apr 28,760
Apr 27,781
Apr 26,804
Apr 25,828
Apr 24,858
Apr 23,875
Apr 22,917
Apr 21,973
Apr 20,1010
Apr 19,1029
Apr 18,1058
Apr 17,1104
Apr 16,1134
Apr 15,1167
Apr 14,1192
Apr 13,1215
Apr 12,1232
Apr 11,1250
Apr 10,1285
Apr 9,1278
Apr 8,1283
Apr 7,1316
Apr 6,1314
Apr 5,1306
Apr 4,1282
Apr 3,1278
Apr 2,1251
Apr 1,1210
Mar 31,1193
Mar 30,1128
Mar 29,1040
Mar 28,993
Mar 27,928
Mar 26,840
Mar 25,754
Mar 24,655
Mar 23,575
Mar 22,482
Mar 21,432
Mar 20,363
Mar 19,288
Mar 18,230
Mar 17,181
Mar 16,152
Mar 15,122
Mar 14,98
Mar 13,81
Mar 12,78
Mar 11,55
Mar 10,45
Mar 9,36
Mar 8,29
Mar 7,23
Mar 6,20
Mar 5,17
Mar 4,15
Mar 3,12
Mar 2,10
Mar 1,10
Feb 29,8
Feb 28,7
Feb 27,6
