State,Number of road bridges
Texas,54432
Ohio,27167
Illinois,26825
California,25771
Kansas,24934
Missouri,24494
Iowa,24043
Oklahoma,23138
Pennsylvania,22911
Tennessee,20226
Indiana,19284
North Carolina,18407
New York,17540
Mississippi,17019
Alabama,16162
Nebraska,15332
Georgia,14940
Kentucky,14394
Wisconsin,14249
Virginia,13933
Minnesota,13346
Arkansas,12902
Louisiana,12884
Florida,12518
Michigan,11244
South Carolina,9419
Colorado,8785
Arizona,8320
Washington,8300
Oregon,8211
West Virginia,7291
New Jersey,6786
South Dakota,5821
Maryland,5402
Montana,5278
Massachusetts,5233
Idaho,4493
Connecticut,4336
North Dakota,4329
New Mexico,4014
Wyoming,3114
Utah,3063
Vermont,2818
New Hampshire,2502
Maine,2461
Nevada,2029
Alaska,1595
Hawaii,1138
Delaware,879
Rhode Island,779
District of Columbia,244
