Year,GDP in billion international dollars
2021*,1384.02
2020*,1279.36
2019,1362.07
2018,1314.46
2017,1249.09
2016,1196.55
2015,1152.31
2014,1114.73
2013,1066.93
2012,1026.7
2011,970.49
2010,924.37
2009,892.64
2008,869.54
2007,830.8
2006,774.77
2005,732.19
2004,689.2
2003,644.59
2002,615.7
2001,582.04
2000,555.05
1999,526.96
1998,497.29
1997,469.67
1996,441.5
1995,416.27
1994,396.47
1993,370.05
1992,347.92
1991,331.67
1990,324.06
1989,307.75
1988,283.05
1987,262.25
1986,243.99
1985,233.46
1984,214.59
