city of the United States,"Number of resident population in 1,000"
"New York city, New York",8336.82
"Los Angeles city, California",3979.58
"Chicago city, Illinois",2693.98
"Houston city, Texas",2320.27
"Phoenix city, Arizona",1680.99
"Philadelphia city, Pennsylvania",1584.06
"San Antonio city, Texas",1547.25
"San Diego city, California",1423.85
"Dallas city, Texas",1343.57
"San Jose city, California",1021.8
"Austin city, Texas",978.91
"Jacksonville city, Florida",911.51
"Fort Worth city, Texas",909.59
"Columbus city, Ohio",898.55
"Charlotte city, North Carolina",885.71
"San Francisco city, California",881.55
"Indianapolis city (balance), Indiana",876.38
"Seattle city, Washington",753.68
"Denver city, Colorado",727.21
"Washington city, District of Columbia",705.75
"Boston city, Massachusetts",692.6
"El Paso city, Texas",681.73
"Nashville-Davidson metropolitan government (balance), Tennessee",670.82
"Detroit city, Michigan",670.03
"Oklahoma City city, Oklahoma",655.06
