Quarter,House price in thousand GBP
Q1 '20,217911.0
Q4 '19,215925.0
Q3 '19,216805.0
Q2 '19,215910.0
Q1 '19,212694.0
Q4 '18,214178.0
Q3 '18,216103.0
Q2 '18,214578.0
Q1 '18,211792.0
Q4 '17,211.43
Q3 '17,211.67
Q2 '17,209.97
Q1 '17,206.67
Q4 '16,205.94
Q3 '16,206.35
Q2 '16,204.24
Q1 '16,198.56
Q4 '15,197.04
Q3 '15,195.73
Q2 '15,194.26
Q1 '15,188.57
Q4 '14,189.0
Q3 '14,188.81
Q2 '14,186.54
Q1 '14,178.12
Q4 '13,174.44
Q3 '13,170.92
Q2 '13,167.29
Q1 '13,163.06
Q4 '12,162.92
Q3 '12,163.91
Q2 '12,164.96
Q1 '12,162.72
Q4 '11,164.79
Q3 '11,166.6
Q2 '11,166.76
Q1 '11,162.38
