Month,Price in GBP per twin pack
Nov '19,0.67
Oct '19,0.61
Sep '19,0.61
Aug '19,0.55
Jul '19,0.55
Jun '19,0.57
May '19,0.61
Apr '19,0.58
Mar '19,0.53
Feb '19,0.58
Jan '19,0.62
Dec '18,0.62
Nov '18,0.59
Oct '18,0.53
Sep '18,0.54
Aug '18,0.53
Jul '18,0.65
Jun '18,0.56
May '18,0.65
Apr '18,0.66
Mar '18,0.6
Feb '18,0.63
Jan '18,0.63
Dec '17,0.54
Nov '17,0.53
Oct '17,0.52
Sep '17,0.52
Aug '17,0.53
Jul '17,0.55
Jun '17,0.52
May '17,0.53
Apr '17,0.61
Mar '17,0.66
Feb '17,0.83
Jan '17,0.65
Dec '16,0.53
Nov '16,0.52
Oct '16,0.53
Sep '16,0.53
Aug '16,0.53
Jul '16,0.51
Jun '16,0.52
May '16,0.56
Apr '16,0.57
Mar '16,0.52
Feb '16,0.55
Jan '16,0.59
Dec '15,0.62
Nov '15,0.49
Oct '15,0.47
Sep '15,0.49
Aug '15,0.47
Jul '15,0.49
Jun '15,0.5
May '15,0.57
Apr '15,0.62
Mar '15,0.62
Feb '15,0.61
Jan '15,0.6
