Month,Number of new cases
Mar 01,0
Mar 02,0
Mar 03,1
Mar 04,0
Mar 05,0
Mar 06,0
Mar 07,0
Mar 08,2
Mar 09,3
Mar 10,2
Mar 11,2
Mar 12,6
Mar 13,1
Mar 14,9
Mar 15,4
Mar 16,4
Mar 17,26
Mar 18,11
Mar 19,15
Mar 20,25
Mar 21,13
Mar 22,15
Mar 23,41
Mar 24,17
Mar 25,24
Mar 26,23
Mar 27,36
Mar 28,25
Mar 29,42
Mar 30,29
Mar 31,22
Apr 1,48
Apr 2,12
Apr 3,35
Apr 4,16
Apr 5,24
Apr 6,9
Apr 7,6
Apr 8,29
Apr 9,12
Apr 10,23
Apr 11,18
Apr 12,21
Apr 13,2
Apr 14,4
Apr 15,9
Apr 16,9
Apr 17,7
Apr 18,30
Apr 19,15
Apr 20,12
Apr 21,9
Apr 22,13
Apr 23,17
Apr 24,6
Apr 25,20
Apr 26,8
Apr 27,6
Apr 28,18
Apr 29,13
Apr 30,9
May 1,12
May 2,1
May 3,8
May 4,17
May 5,0
May 6,4
May 7,9
May 8,19
May 9,2
May 10,9
May 11,7
May 12,4
May 13,1
May 14,11
May 15,8
May 16,27
May 17,11
May 18,1
May 19,3
May 20,4
May 21,9
May 22,5
May 23,16
May 24,1
May 25,2
May 26,4
May 27,4
May 28,4
May 29,3
May 30,1
May 31,1
Jun 1,0
Jun 2,5
Jun 3,8
Jun 4,3
Jun 5,3
Jun 6,1
Jun 7,2
Jun 8,0
Jun 9,1
Jun 10,3
Jun 11,2
Jun 12,2
Jun 13,1
Jun 14,0
Jun 15,0
Jun 16,1
Jun 17,6
Jun 18,4
Jun 19,2
Jun 20,1
Jun 21,0
Jun 22,0
Jun 23,0
Jun 24,0
Jun 25,0
Jun 26,1
Jun 27,3
Jun 28,1
Jun 29,1
Jun 30,1
Jul 1,3
Jul 2,1
Jul 3,0
Jul 4,1
Jul 5,1
Jul 6,3
Jul 9,13
Jul 10,11
Jul 11,8
Jul 12,0
Jul 13,1
Jul 15,4
Jul 16,1
Jul 17,6
Jul 18,4
Jul 19,3
Jul 20,0
Jul 21,1
Jul 22,4
Jul 23,6
Jul 24,2
Jul 25,1
Jul 26,13
Aug 1,7
Aug 2,5
Aug 6,18
Aug 7,6
Aug 8,7
Aug 9,2
Aug 12,10
Aug 13,4
Aug 14,1
Aug 20,1
Aug 21,3
Aug 22,3
Aug 23,4
Aug 24,0
Aug 30,12
Aug 31,3
Sep 5,9
Sep 6,3
Sep 7,1
Sep 30,95
Oct 2,77
Oct 3,74
Oct 8,109
Oct 9,137
Oct 12,95
Oct 17,188
Oct 18,58
Oct 19,44
Oct 20,115
Oct 30,284
Oct 31,215
Nov 01,242
Nov 02,132
Nov 03,171
Nov 04,313
Nov 05,367
Nov 06,357
Nov 07,404
Nov 08,215
Nov 09,92
Nov 10,208
Nov 11,453
Nov 12,533
Nov 18,442
Nov 19,366
Nov 20,380
