Country,Direct investments in million Canadian dollars
United States,631580
United Kingdom,106989
Luxembourg,101214
Bermuda,63502
Barbados,49777
Cayman Islands,42683
Australia,37810
Netherlands,35935
Mexico,27933
Bahamas,26265
Chile,22507
Switzerland,16015
Peru,14662
People's Republic of China,13391
Brazil,12248
Hong Kong,11710
Germany,11553
British Virgin Islands,10529
France,10320
Ireland,9477
Singapore,9320
Japan,8383
Spain,7607
Mongolia,6204
Colombia,5951
Mauritius,5091
Malta,4345
Indonesia,3846
Sweden,3697
Panama,3687
Kazakhstan,3244
Philippines,3132
Cyprus,2643
Austria,2511
India,2508
Ecuador,2499
South Korea,2152
Burkina Faso,2048
Denmark,1887
Argentina,1638
Finland,1517
Kyrgyzstan,1469
Norway,1464
Belgium,1425
Russian Federation,1344
New Zealand,1337
Turkey,1303
Uruguay,1011
Romania,906
South Africa,859
Papua New Guinea,850
Albania,826
Senegal,818
Ivory Coast,799
Namibia,753
Honduras,707
Cambodia,696
Nicaragua,687
Mali,667
Dominican Republic,584
Taiwan,556
Czech Republic,540
"Tanzania, United Republic of",491
Lithuania,485
Portugal,469
Italy,464
Eritrea,425
Nigeria,390
Guyana,354
Costa Rica,346
Poland,341
Hungary,307
Thailand,302
El Salvador,261
Belize,245
Netherlands Antilles,232
Viet Nam,222
"Congo, Democratic Republic of the",208
Ghana,199
Botswana,192
Bolivia,143
Saint Lucia,127
Greece,120
Bulgaria,119
Trinidad and Tobago,117
United Arab Emirates,112
Estonia,96
Suriname,87
Guatemala,77
Tunisia,57
Central African Republic,57
Ukraine,43
French Guiana,33
Gabon,32
Madagascar,22
Kuwait,17
Guinea,16
Kenya,16
Jamaica,15
Sudan,13
Malaysia,12
Congo,10
Monaco,8
Sri Lanka,8
Haiti,6
Guadeloupe,6
Egypt,6
Brunei Darussalam,5
Zambia,4
Aruba,3
Dominica,3
Latvia,3
Cuba,1
Iceland,1
Venezuela,1
Oman,1
Grenada,1
Croatia,-1
Georgia,-1
Malawi,-2
Ethiopia,-4
Morocco,-4
Qatar,-7
Iraq,-10
Saudi Arabia,-10
Angola,-37
Niger,-49
Algeria,-112
Israel,-382
Mauritania,-2246
