Response,Percentage of respondents
Massachusetts,76.5%
Rhode Island,75.7%
Wisconsin,74.8%
New Hampshire,74.8%
Maine,74.7%
Connecticut,74.3%
Hawaii,74.1%
Michigan,73.8%
Minnesota,73.3%
District of Columbia,72.4%
Delaware,72.2%
Maryland,72.1%
Pennsylvania,71.4%
Oregon,71.4%
Vermont,71.2%
Iowa,70.9%
California,70.9%
North Carolina,70.9%
Washington,70.7%
Utah,69.8%
South Carolina,69.6%
New York,69.5%
Missouri,69.4%
Virginia,69.3%
Kentucky,69.3%
Florida,69%
Louisiana,69%
United States,68.8%
Tennessee,68.3%
Colorado,68.3%
Nebraska,68.2%
South Dakota,68.1%
Georgia,68.1%
New Jersey,67.4%
Indiana,67.4%
West Virginia,67.2%
North Dakota,66.9%
Kansas,66.8%
Ohio,66.7%
Illinois,66.7%
Idaho,66.1%
Arkansas,65.5%
Arizona,65.2%
New Mexico,63.9%
Montana,63.3%
Mississippi,62.3%
Oklahoma,62%
Nevada,60.4%
Alaska,60.2%
Texas,59.6%
Wyoming,57.8%
