Year,Temperature departure in degrees Celsius
2019,0.77
2018,0.68
2017,0.72
2016,0.79
2015,0.75
2014,0.63
2013,0.53
2012,0.51
2011,0.44
2010,0.56
2009,0.54
2008,0.41
2007,0.43
2006,0.5
2005,0.51
2004,0.49
2003,0.52
2002,0.49
2001,0.46
2000,0.35
1999,0.31
1998,0.52
1997,0.47
1996,0.31
1995,0.35
1994,0.29
1993,0.25
1992,0.23
1991,0.34
1990,0.37
1989,0.27
1988,0.32
1987,0.36
1986,0.21
1985,0.18
1984,0.2
1983,0.3
1982,0.22
1981,0.25
1980,0.26
1979,0.24
1978,0.12
1977,0.19
1976,-0.01
1975,-0.04
1974,-0.02
1973,0.14
1972,0.11
1971,-0.08
1970,0.06
1969,0.18
1968,0.01
1967,-0.01
1966,0.01
1965,-0.05
1964,-0.11
1963,0.08
1962,0.09
1961,0.09
1960,0.07
1959,0.08
1958,0.12
1957,0.11
1956,-0.1
1955,-0.13
1954,-0.09
1953,0.1
1952,0.08
1951,0.02
1950,-0.09
1949,-0.08
1948,-0.1
1947,-0.07
1946,-0.01
1945,0.3
1944,0.32
1943,0.12
1942,0.13
1941,0.35
1940,0.2
1939,-0.03
1938,-0.1
1937,-0.01
1936,-0.12
1935,-0.15
1934,-0.13
1933,-0.22
1932,-0.17
1931,-0.08
1930,-0.11
1929,-0.27
1928,-0.2
1927,-0.16
1926,-0.1
1925,-0.19
1924,-0.24
1923,-0.24
1922,-0.24
1921,-0.17
1920,-0.18
1919,-0.21
1918,-0.21
1917,-0.29
1916,-0.26
1915,-0.1
1914,-0.17
1913,-0.32
1912,-0.28
1911,-0.43
1910,-0.42
1909,-0.45
1908,-0.43
1907,-0.29
1906,-0.22
1905,-0.25
1904,-0.46
1903,-0.37
1902,-0.24
1901,-0.16
1900,-0.05
1899,-0.13
1898,-0.22
1897,-0.03
1896,0.0
1895,-0.17
1894,-0.27
1893,-0.24
1892,-0.23
1891,-0.15
1890,-0.29
1889,-0.02
1888,-0.05
1887,-0.23
1886,-0.17
1885,-0.17
1884,-0.14
1883,-0.04
1882,0.0
1881,0.01
1880,-0.02
