Year,GDP per capita in U.S. dollars
2025*,494.27
2024*,480.67
2023*,472.88
2022*,468.84
2021*,470.97
2020*,518.47
2019*,539.12
2018*,533.97
2017,495.81
2016,525.95
2015,592.9
2014,721.56
2013,731.07
2012,578.3
2011,457.92
2010,410.6
2009,399.93
2008,418.79
2007,368.86
2006,331.02
2005,299.27
2004,271.4
2003,272.05
2002,258.17
2001,234.0
2000,210.75
1999,224.92
1998,230.25
1997,294.27
1996,327.82
1995,304.15
1994,317.34
1993,266.1
1992,234.03
1991,268.08
1990,224.57
1989,414.41
1988,461.77
1987,287.72
1986,337.5
1985,460.72
