Response,Percentage of respondents
"Wellness programs, general",58%
Onsite seasonal flu vaccinations,60%
Annual health risk assessments,43%
Rewards or bonuses for completing certain health and wellness programs,38%
Smoking cessation program,39%
Health fairs,33%
Preventive programs specifically targeting employees with chronic health conditions,24%
Weight loss programs,29%
"Onsite health screening programs (ex: glucose, cholesterol, etc.)",31%
Company-organized fitness competitions/challenges,38%
Onsite stress management program,13%
