State,"Rate per 1,000 members"
Connecticut,7.2
Colorado,7.0
Pennsylvania,6.9
Rhode Island,6.9
Massachusetts,6.6
New Hampshire,6.6
Maine,6.2
Delaware,6.1
New Jersey,6.1
Vermont,6.0
Montana,5.6
Maryland,5.5
Kansas,5.1
Washington,5.0
Wyoming,5.0
Oregon,4.9
Ohio,4.9
Idaho,4.8
Virginia,4.8
Utah,4.7
New York,4.6
Minnesota,4.5
Alaska,4.5
Michigan,4.5
South Dakota,4.4
Missouri,4.4
Nebraska,4.3
Wisconsin,4.3
United States,4.3
Indiana,4.3
Iowa,4.1
West Virginia,4.1
Arizona,3.9
North Carolina,3.9
District of Columbia,3.8
Illinois,3.8
Texas,3.7
North Dakota,3.6
Tennessee,3.5
California,3.5
Nevada,3.3
South Carolina,3.3
Georgia,3.2
Kentucky,3.0
Oklahoma,3.0
Alabama,3.0
Louisiana,2.8
Arkansas,2.6
Florida,2.5
Mississippi,2.4
