Response,Share of respondents
Get exercise,61%
Keep physically fit,45%
Be with family and friends,39%
Observe scenic beauty,33%
Be close to nature,32%
Enjoy the sounds and smells of nature,31%
Be with people who enjoy the same things I do,29%
Get away from the usual demands,29%
Experience excitement and adventure,26%
Because it is cool,22%
Develop my skills and abilities,21%
Be with people who share my values,19%
Experience solitude,18%
Gain a sense of accomplishment,18%
Gain a sense of self-confidence,16%
Talk to new and varied people,15%
Other reason(s),3%
