Month,Index number of sales per week
Jun 20,104.4
May 20,71.1
Apr 20,50.0
Mar 20,92.1
Feb 20,100.8
Jan 20,99.6
Dec 19,100.9
Nov 19,102.0
Oct 19,101.3
Sep 19,103.1
Aug 19,101.4
Jul 19,99.1
Jun 19,104.3
May 19,101.9
Apr 19,99.9
Mar 19,103.1
Feb 19,100.6
Jan 19,101.7
Dec 18,104.8
Nov 18,107.7
Oct 18,105.7
Sep 18,107.5
Aug 18,106.7
Jul 18,102.7
Jun 18,103.8
May 18,105.1
Apr 18,104.8
Mar 18,102.4
Feb 18,102.2
Jan 18,101.5
Dec 17,98.7
Nov 17,100.5
Oct 17,100.9
Sep 17,98.5
Aug 17,96.6
Jul 17,101.3
Jun 17,99.3
May 17,97.2
Apr 17,104.3
Mar 17,99.7
Feb 17,100.0
Jan 17,98.8
Dec 16,99.6
Nov 16,103.2
Oct 16,100.9
Sep 16,97.8
Aug 16,97.4
Jul 16,102.0
Jun 16,98.9
May 16,102.5
Apr 16,97.8
Mar 16,97.7
Feb 16,102.2
Jan 16,101.2
