Year,GDP per capita in U.S. dollars
2025*,6886.7
2024*,6595.53
2023*,6297.88
2022*,5986.02
2021*,5643.23
2020*,5220.81
2019,5826.09
2018,5730.91
2017,5406.56
2016,5170.7
2015,5193.26
2014,4953.22
2013,5104.9
2012,5332.49
2011,5232.3
2010,4812.26
2009,4435.27
2008,5054.56
2007,4756.27
2006,4430.51
2005,4187.91
2004,3816.91
2003,3562.46
2002,3700.05
2001,3529.71
2000,3510.58
1999,3473.44
1998,3467.54
1997,3347.37
1996,2975.13
1995,2657.67
1994,2266.08
1993,2280.66
1992,1804.41
1991,1799.77
1990,1971.7
1989,1588.56
1988,1372.73
1987,1158.6
1986,1034.77
1985,878.36
