Quarter,Number of licensed vehicles
Q3 2019,228286
Q2 2019,209708
Q1 2019,198837
Q4 2018,185866
Q3 2018,172048
Q2 2018,157887
Q1 2018,145213
Q4 2017,132221
Q3 2017,120796
Q2 2017,107587
Q1 2017,97567
Q4 2016,85183
Q3 2016,76950
Q2 2016,66891
Q1 2016,58355
Q4 2015,47629
Q3 2015,41209
Q2 2015,35250
Q1 2015,29830
Q4 2014,21975
Q3 2014,16874
Q2 2014,12176
Q1 2014,9980
Q4 2013,8300
Q3 2013,7357
Q2 2013,6387
Q1 2013,5536
Q4 2012,4951
Q3 2012,4223
Q2 2012,3564
Q1 2012,2961
Q4 2011,2649
Q3 2011,2526
Q2 2011,2206
Q1 2011,1881
Q4 2010,1568
Q3 2010,1495
Q2 2010,1476
Q1 2010,1481
