County in United States,Number of cases
"New York City, N.Y.",212122
"Nassau, N.Y.",40947
"Suffolk, N.Y.",40377
"Westchester, N.Y.",33999
"Hudson, N.J.",18584
"Passaic, N.J.",16461
"Union, N.J.",16241
"Rockland, N.Y.",13340
"Orange, N.Y.",10538
"Woodbury, Iowa",2939
"McKinley, N.M.",2746
"Marion, Ohio",2694
"Pickaway, Ohio",2108
"Ford, Kan.",1856
"Walker, Texas",1851
"Apache, Ariz.",1732
"Dakota, Neb.",1720
"Nobles, Minn.",1597
"Cass, Ind.",1596
"Hall, Neb.",1567
"Finney, Kan.",1536
"Trousdale, Tenn.",1397
"Manassas, Va.",1248
"Buena Vista, Iowa",1221
"Lincoln, Ark.",985
"Accomack, Va.",983
"Texas, Okla.",947
"Seward, Kan.",900
"Moore, Texas",852
"Dawson, Neb.",843
"Neshoba, Miss.",772
"St. Francis, Ark.",755
"Lake, Tenn.",724
"Jones, Texas",637
"Colfax, Neb.",636
"Logan, Colo.",631
"Bledsoe, Tenn.",613
"Crawford, Iowa",576
"Saline, Neb.",518
"Buckingham, Va.",481
"Holmes, Miss.",461
"Tama, Iowa",417
"Louisa, Iowa",350
"Lowndes, Ala.",294
"Richmond, Va.",293
"Liberty, Fla.",218
"Terrell, Ga.",217
"East Carroll, La.",199
"Randolph, Ga.",183
"Echols, Ga.",146
