State,"Number of deaths per 10,000 population"
Bronx,24.9
Rockland,23.9
Queens,23.7
Kings (Brooklyn),21.2
New York City total,21.0
Richmond (Staten Island),18.9
Nassau,17.9
Westchester,17.4
Allegany,15.9
Suffolk,15.9
Orleans,15.8
Orange,15.6
Steuben,14.5
New York (Manhattan),13.9
Erie,13.5
Tioga,13.2
Chemung,11.8
Oneida,11.7
Seneca,11.4
Broome,11.1
Montgomery,10.7
Onondaga,10.2
Columbia,10.2
Genesee,9.9
Madison,9.7
Cortland,9.4
Niagara,9.0
Dutchess,8.5
Ulster,8.3
Monroe,8.1
Sullivan,7.5
Albany,7.5
Fulton,7.1
Putnam,6.8
Wyoming,6.5
Cattaraugus,6.5
Lewis,6.4
Warren,6.1
Ontario,6.1
Greene,6.1
Schenectady,5.9
Rensselaer,5.7
Schuyler,5.6
Yates,5.2
Chenango,5.0
Herkimer,5.0
Wayne,4.7
St. Lawrence,4.3
Essex,4.3
Livingston,4.1
Cayuga,4.1
Oswego,3.7
Otsego,2.8
Chautauqua,2.8
Delaware,2.7
Washington,2.6
Hamilton,2.3
Saratoga,2.1
Franklin,1.8
Schoharie,1.6
Tompkins,1.5
Jefferson,1.2
Clinton,1.0
