Musical title (year),Number of performances
Les Misérables (1985)*,14156
The Phantom of the Opera (1986)*,13877
Blood Brothers (1988),10013
Cats (1981),8949
Mamma Mia! (1999)*,8750
Disney's The Lion King (1999)*,8506
Starlight Express (1984),7406
Chicago (1997 revival),6187
Wicked (2006)*,5635
Buddy - The Buddy Holly Story (1989),5140
We Will Rock You (2002),4659
Thriller Live (2009)*,4613
Billy Elliot The Musical (2005),4566
Miss Saigon (1989),4264
Jersey Boys (2008),3787
Matilda The Musical! (2011)*,3478
Jesus Christ Superstar (1972),3357
Me and My Girl (1985 revival),3303
Evita (1978),2900
The Book of Mormon*,2900
