Month,Number of cases
"Dec 16, 2020",357466
"Dec 15, 2020",348651
"Dec 14, 2020",341639
"Dec 13, 2020",338097
"Dec 12, 2020",335039
"Dec 11, 2020",328497
"Dec 10, 2020",320774
"Dec 9, 2020",314069
"Dec 8, 2020",305672
"Dec 7, 2020",298222
"Dec 6, 2020",294442
"Dec 5, 2020",292639
"Dec 4, 2020",287753
"Dec 3, 2020",280410
"Dec 2, 2020",273419
"Dec 1, 2020",266872
"Nov 30, 2020",261070
"Nov 29, 2020",257594
"Nov 28, 2020",254842
"Nov 27, 2020",251017
"Nov 26, 2020",244553
"Nov 25, 2020",237647
"Nov 24, 2020",231599
"Nov 23, 2020",225925
"Nov 22, 2020",222047
"Nov 21, 2020",219639
"Nov 20, 2020",215142
"Nov 19, 2020",209677
"Nov 18, 2020",202046
"Nov 17, 2020",197083
"Nov 16, 2020",192439
"Nov 15, 2020",190261
"Nov 14, 2020",188678
"Nov 13, 2020",185161
"Nov 12, 2020",178418
"Nov 11, 2020",172783
"Nov 10, 2020",167026
"Nov 9, 2020",162511
"Nov 8, 2020",158770
"Nov 7, 2020",156654
"Nov 6, 2020",152194
"Nov 5, 2020",147769
"Nov 4, 2020",143003
"Nov 3, 2020",138505
"Nov 2, 2020",134896
"Nov 1, 2020",133326
"Oct 31, 2020",132028
"Oct 30, 2020",129045
"Oct 29, 2020",124988
"Oct 28, 2020",121726
"Oct 27, 2020",118336
"Oct 26, 2020",115925
"Oct 25, 2020",114855
"Oct 24, 2020",114340
"Oct 23, 2020",112862
"Oct 22, 2020",110993
"Oct 21, 2020",109326
"Oct 20, 2020",107755
"Oct 19, 2020",106464
"Oct 18, 2020",105694
"Oct 17, 2020",105373
"Oct 16, 2020",104676
"Oct 15, 2020",103496
"Oct 14, 2020",102594
"Oct 13, 2020",101626
"Oct 12, 2020",100710
"Oct 11, 2020",100073
"Oct 10, 2020",99912
"Oct 9, 2020",99403
"Oct 8, 2020",98620
"Oct 7, 2020",97786
"Oct 6, 2020",96955
"Oct 5, 2020",96169
"Oct 4, 2020",95795
"Oct 3, 2020",95640
"Oct 2, 2020",95179
"Oct 1, 2020",94467
"Sep 30, 2020",93834
"Sep 29, 2020",93146
"Sep 28, 2020",92533
"Sep 27, 2020",92155
"Sep 26, 2020",91988
"Sep 25, 2020",91663
"Sep 24, 2020",91034
"Sep 23, 2020",90494
"Sep 22, 2020",89941
"Sep 21, 2020",89503
"Sep 20, 2020",89237
"Sep 19, 2020",89104
"Sep 18, 2020",88825
"Sep 17, 2020",88388
"Sep 16, 2020",87999
"Sep 15, 2020",87669
"Sep 14, 2020",87377
"Sep 13, 2020",87157
"Sep 12, 2020",87051
"Sep 11, 2020",86845
"Sep 10, 2020",86554
"Sep 9, 2020",86299
"Sep 8, 2020",85985
"Sep 7, 2020",85749
"Sep 6, 2020",85564
"Sep 5, 2020",85497
"Sep 4, 2020",85326
"Sep 3, 2020",85064
"Sep 2, 2020",84778
"Sep 1, 2020",84565
"Aug 31, 2020",84394
"Aug 30, 2020",84232
"Aug 29, 3030",84184
"Aug 28, 2020",84053
"Aug 27, 2020",83874
"Aug 26, 2020",83672
"Aug 25, 2020",83428
"Aug 24, 2020",83206
"Aug 23, 2020",83032
"Aug 22, 2020",82975
"Aug 21, 2020",82815
"Aug 20, 2020",82517
"Aug 19, 2020",82184
"Aug 18, 2020",81833
"Aug 17, 2020",81519
"Aug 16, 2020",81345
"Aug 15, 2020",81282
"Aug 14, 2020",81056
"Aug 13, 2020",80712
"Aug 12, 2020",80349
"Aug 11, 2020",79906
"Aug 10, 2020",79489
"Aug 9, 2020",79293
"Aug 8, 2020",79220
"Aug 7, 2020",78960
"Aug 6, 2020",78580
"Aug 5, 2020",78202
"Aug 4, 2020",77777
"Aug 3, 2020",77444
"Aug 2, 2020",77279
"Aug 1, 2020",77241
"Jul 31, 2020",76938
"Jul 30, 2020",76680
"Jul 29, 2020",76378
"Jul 28, 2020",76077
"Jul 27, 2020",75794
"Jul 26, 2020",75723
"Jul 25, 2020",75681
"Jul 24, 2020",75543
"Jul 23, 2020",75281
"Jul 22, 2020",75061
"Jul 21, 2020",74764
"Jul 20, 2020",74538
"Jul 19, 2020",74407
"Jul 18, 2020",74297
"Jul 17, 2020",74106
"Jul 16, 2020",73822
"Jul 15, 2020",73554
"Jul 14, 2020",73267
"Jul 13, 2020",72955
"Jul 12, 2020",72785
"Jul 11, 2020",72679
